2016-03-25 16:24:57.416612 I | etcdmain: etcd Version: 2.3.0+git
2016-03-25 16:24:57.416657 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-03-25 16:24:57.416664 I | etcdmain: Go Version: go1.6
2016-03-25 16:24:57.416670 I | etcdmain: Go OS/Arch: linux/amd64
2016-03-25 16:24:57.416679 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-03-25 16:24:57.416731 I | etcdmain: listening for peers on http://10.240.0.20:2380
2016-03-25 16:24:57.416758 I | etcdmain: listening for client requests on 10.240.0.20:2379
2016-03-25 16:24:57.419871 I | etcdserver: name = etcd-1
2016-03-25 16:24:57.419886 I | etcdserver: data dir = /mnt/ssd0/data.etcd
2016-03-25 16:24:57.419893 I | etcdserver: member dir = /mnt/ssd0/data.etcd/member
2016-03-25 16:24:57.419899 I | etcdserver: heartbeat = 100ms
2016-03-25 16:24:57.419904 I | etcdserver: election = 1000ms
2016-03-25 16:24:57.419910 I | etcdserver: snapshot count = 10000
2016-03-25 16:24:57.419919 I | etcdserver: advertise client URLs = http://10.240.0.20:2379
2016-03-25 16:24:57.419926 I | etcdserver: initial advertise peer URLs = http://10.240.0.20:2380
2016-03-25 16:24:57.419940 I | etcdserver: initial cluster = etcd-1=http://10.240.0.20:2380,etcd-2=http://10.240.0.21:2380,etcd-3=http://10.240.0.22:2380
2016-03-25 16:24:57.426864 I | etcdserver: starting member 20722e46d7802cab in cluster 4ce5e214d26bfb9e
2016-03-25 16:24:57.426912 I | raft: 20722e46d7802cab became follower at term 0
2016-03-25 16:24:57.426925 I | raft: newRaft 20722e46d7802cab [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-03-25 16:24:57.426932 I | raft: 20722e46d7802cab became follower at term 1
2016-03-25 16:24:57.462562 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-03-25 16:24:57.462888 E | etcdmain: failed to notify systemd for readiness: No socket
2016-03-25 16:24:57.462905 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-03-25 16:24:57.464433 N | etcdmain: serving insecure client requests on 10.240.0.20:2379, this is strongly discouraged!
2016-03-25 16:24:57.464629 N | etcdserver: added local member 20722e46d7802cab [http://10.240.0.20:2380] to cluster 4ce5e214d26bfb9e
2016-03-25 16:24:57.464758 N | etcdserver: added member 2087a91b2ccc6d93 [http://10.240.0.21:2380] to cluster 4ce5e214d26bfb9e
2016-03-25 16:24:57.464866 N | etcdserver: added member 21d3c625100d5241 [http://10.240.0.22:2380] to cluster 4ce5e214d26bfb9e
2016-03-25 16:24:57.727296 I | raft: 20722e46d7802cab is starting a new election at term 1
2016-03-25 16:24:57.727376 I | raft: 20722e46d7802cab became candidate at term 2
2016-03-25 16:24:57.727386 I | raft: 20722e46d7802cab received vote from 20722e46d7802cab at term 2
2016-03-25 16:24:57.727396 I | raft: 20722e46d7802cab [logterm: 1, index: 3] sent vote request to 2087a91b2ccc6d93 at term 2
2016-03-25 16:24:57.727406 I | raft: 20722e46d7802cab [logterm: 1, index: 3] sent vote request to 21d3c625100d5241 at term 2
2016-03-25 16:24:58.468080 I | rafthttp: the connection with 2087a91b2ccc6d93 became active
